bizesNm,indsLclsNm,indsMclsNm,indsScnm,sigunguNm,sigunguDetailNm,adongNm,lnAdr,rdnAdr
더원볼링,예술·스포츠,스포츠 서비스,볼링장,광주광역시,광산구,송정2동,광주광역시 광산구 송정동 879,광주광역시 광산구 송정로29번길 38
와플대학광주화정캠퍼스,음식,기타 간이,빵/도넛,광주광역시,서구,화정3동,광주광역시 서구 화정동 825-13,광주광역시 서구 염화로 101
GS25광주,소매,종합 소매,편의점,광주광역시,서구,금호2동,광주광역시 서구 금호동 800-3,광주광역시 서구 풍금로151번길 10
갑동종합철물,소매,철물·건설자재 소매,철물/공구 소매업,광주광역시,광산구,신가동,광주광역시 광산구 신가동 233-7,광주광역시 광산구 목련로 344
디자인뚝딱,과학·기술,전문 디자인,인테리어 디자인업,광주광역시,북구,건국동,광주광역시 북구 오룡동 1110-34,광주광역시 북구 첨단과기로208번길 17-29
조이카,소매,자동차 부품 소매,자동차 부품 소매업,광주광역시,광산구,신창동,광주광역시 광산구 신창동 74-1,광주광역시 광산구 북문대로 330
승리카인테리어,수리·개인,자동차 수리·세차,자동차 정비소,광주광역시,북구,임동,광주광역시 북구 임동 193-14,광주광역시 북구 중흥로 60
지엔코광주주,소매,섬유·의복·신발 소매,기타 의류 소매업,광주광역시,광산구,수완동,광주광역시 광산구 장덕동 1678,광주광역시 광산구 장신로 98
치마자락,소매,섬유·의복·신발 소매,기타 의류 소매업,광주광역시,동구,학운동,광주광역시 동구 학동 719-31,광주광역시 동구 의재로 35
태경플러스,과학·기술,본사·경영 컨설팅,경영 컨설팅업,광주광역시,북구,양산동,광주광역시 북구 연제동 1041,광주광역시 북구 첨단연신로 88
우리닭집아시아마트,소매,종합 소매,슈퍼마켓,광주광역시,광산구,송정2동,광주광역시 광산구 송정동 814-7,광주광역시 광산구 송정로29번길 64
태일기획,과학·기술,인쇄·제품제작,명함/간판/광고물 제작,광주광역시,서구,서창동,광주광역시 서구 벽진동 419-9,광주광역시 서구 풍서우로 242
세무사박종철사무실,과학·기술,회계·세무,세무사,광주광역시,서구,화정3동,광주광역시 서구 화정동 897-4,광주광역시 서구 월드컵4강로 106
광주전자담배고스트,소매,담배 소매,담배/전자담배 소매업,광주광역시,광산구,수완동,광주광역시 광산구 수완동 1454,광주광역시 광산구 수완로 59
진우네한우곱창,음식,한식,돼지고기 구이/찜,광주광역시,광산구,첨단2동,광주광역시 광산구 월계동 881-1,광주광역시 광산구 임방울대로826번길 30
금호고시원,숙박,기타 숙박,기숙사/고시원,광주광역시,북구,용봉동,광주광역시 북구 용봉동 1250-14,광주광역시 북구 반룡로18번길 31-9
빛고을전기학원,교육,기타 교육,기타 기술/직업 훈련학원,광주광역시,서구,풍암동,광주광역시 서구 풍암동 1150,광주광역시 서구 풍암순환로128번길 95
김범안기능장빵제작소,음식,기타 간이,빵/도넛,광주광역시,서구,농성1동,광주광역시 서구 농성동 415-57,광주광역시 서구 내방로 433
훈613,음식,주점,요리 주점,광주광역시,서구,상무2동,광주광역시 서구 쌍촌동 975-19,광주광역시 서구 상무대로868번길 8-6
종원종로약국,소매,의약·화장품 소매,약국,광주광역시,서구,금호2동,광주광역시 서구 금호동 239-14,광주광역시 서구 화개1로 57
디아망,소매,섬유·의복·신발 소매,여성 의류 소매업,광주광역시,동구,충장동,광주광역시 동구 황금동 85,광주광역시 동구 중앙로160번길 35
보이빙글,소매,섬유·의복·신발 소매,남성 의류 소매업,광주광역시,북구,양산동,광주광역시 북구 양산동 1058,광주광역시 북구 연양로105번길 6-3
베르디아,소매,가구 소매,가구 소매업,광주광역시,서구,화정1동,광주광역시 서구 화정동 12-17,광주광역시 서구 군분2로 54
닭치고첨단닭집,소매,식료품 소매,정육점,광주광역시,광산구,비아동,광주광역시 광산구 비아동 66-63,광주광역시 광산구 비아동원촌길 13
LG한라산판매,소매,가전·통신 소매,가전제품 소매업,광주광역시,북구,풍향동,광주광역시 북구 풍향동 581-16,광주광역시 북구 필문대로 79-1
에이치디비,부동산,부동산 서비스,부동산 중개/대리업,광주광역시,북구,건국동,광주광역시 북구 오룡동 1110-22,광주광역시 북구 첨단과기로208번길 43-10
레인보우,소매,의약·화장품 소매,화장품 소매업,광주광역시,동구,충장동,광주광역시 동구 황금동 5-16,광주광역시 동구 중앙로160번길 3
케이피라인2,음식,동남아시아,베트남식 전문,광주광역시,광산구,송정1동,광주광역시 광산구 송정동 754-19,광주광역시 광산구 광산로 75
장현경펜싱클럽,교육,기타 교육,태권도/무술학원,광주광역시,광산구,수완동,광주광역시 광산구 장덕동 1633,광주광역시 광산구 장신로 60
제일떡집,음식,기타 간이,떡/한과,광주광역시,남구,주월2동,광주광역시 남구 주월동 974-107,광주광역시 남구 군분로 27
세명복사,시설관리·임대,사무 지원,복사업,광주광역시,북구,신안동,광주광역시 북구 신안동 477-29,광주광역시 북구 자미로 55
반석건축사사무소,과학·기술,기술 서비스,건축 설계 및 관련 서비스업,광주광역시,북구,용봉동,광주광역시 북구 용봉동 1050-3,광주광역시 북구 비엔날레로93번길 30-3
디자인인컴,과학·기술,인쇄·제품제작,명함/간판/광고물 제작,광주광역시,동구,서남동,광주광역시 동구 남동 143-1,광주광역시 동구 문화전당로23번길 5-14
로건행정사,과학·기술,법무관련 ,행정사,광주광역시,서구,치평동,광주광역시 서구 치평동 1223-1,광주광역시 서구 운천로 247
브리앙뜨,음식,비알코올 ,카페,광주광역시,동구,계림1동,광주광역시 동구 계림동 299-27,광주광역시 동구 경양로 272
용두1공인중개사사무소,부동산,부동산 서비스,부동산 중개/대리업,광주광역시,북구,건국동,광주광역시 북구 용두동 1047-30,광주광역시 북구 용두마을길40번길 9
메이킹로봇코딩학원,교육,기타 교육,컴퓨터 학원,광주광역시,서구,화정2동,광주광역시 서구 화정동 1148,광주광역시 서구 월드컵4강로28번길 43
웨스,수리·개인,가전제품 수리,가전제품 수리업,광주광역시,북구,두암3동,광주광역시 북구 두암동 947-1,광주광역시 북구 삼정로 71
굿족발,음식,한식,족발/보쌈,광주광역시,서구,화정1동,광주광역시 서구 화정동 776-6,광주광역시 서구 상무대로1081번길 12-2
엘아이디,과학·기술,기술 서비스,건축 설계 및 관련 서비스업,광주광역시,북구,중앙동,광주광역시 북구 누문동 25,광주광역시 북구 경열로186번길 47-13
협동조합산림문화연구소,교육,기타 교육,사회교육시설,광주광역시,서구,금호2동,광주광역시 서구 금호동 855-5,광주광역시 서구 화개중앙로4번길 3-11
주일사,소매,섬유·의복·신발 소매,침구류/커튼 소매업,광주광역시,남구,월산5동,광주광역시 남구 월산동 1006-19,광주광역시 남구 군분로89번길 10
홍주가,음식,한식,백반/한정식,광주광역시,광산구,송정2동,광주광역시 광산구 송정동 875-4,광주광역시 광산구 송정로 56
광주맛집금탑소머리국밥,음식,한식,국/탕/찌개류,광주광역시,북구,오치2동,광주광역시 북구 오치동 919-18,광주광역시 북구 안산로 28
합동상회,소매,섬유·의복·신발 소매,실/섬유제품 소매업,광주광역시,동구,충장동,광주광역시 동구 대인동 327-14,광주광역시 동구 동계천로 52
최씨부엌,음식,한식,백반/한정식,광주광역시,북구,양산동,광주광역시 북구 양산동 902,광주광역시 북구 양산택지로 36
반석복사,시설관리·임대,사무 지원,복사업,광주광역시,북구,신안동,광주광역시 북구 신안동 477-7,광주광역시 북구 자미로 63
아레떼뷰티랩,소매,의약·화장품 소매,화장품 소매업,광주광역시,동구,학동,광주광역시 동구 학동 859-5,광주광역시 동구 남문로 677
빛고을국밥&전골,음식,한식,백반/한정식,광주광역시,북구,용봉동,광주광역시 북구 용봉동 1219-10,광주광역시 북구 용주로30번길 25
우승건강원,소매,식료품 소매,건강보조식품 소매업,광주광역시,남구,방림2동,광주광역시 남구 방림동 509-122,광주광역시 남구 천변좌로 522-2
e다음공인중개사사무소,부동산,부동산 서비스,부동산 중개/대리업,광주광역시,서구,상무1동,광주광역시 서구 쌍촌동 1287,광주광역시 서구 상무오월로 21
한해물하네,음식,한식,백반/한정식,광주광역시,광산구,첨단2동,광주광역시 광산구 월계동 881-1,광주광역시 광산구 임방울대로826번길 30
다사롭,음식,비알코올 ,카페,광주광역시,서구,치평동,광주광역시 서구 치평동 1254,광주광역시 서구 상무중앙로28번길 4
이화영네일속눈썹,수리·개인,이용·미용,피부 관리실,광주광역시,광산구,우산동,광주광역시 광산구 우산동 1572-5,광주광역시 광산구 월곡산정로 20-49
김밥나라,음식,기타 간이,김밥/만두/분식,광주광역시,북구,문흥2동,광주광역시 북구 문흥동 940-3,광주광역시 북구 호동로 77
송주식육식당,음식,한식,돼지고기 구이/찜,광주광역시,광산구,운남동,광주광역시 광산구 운남동 426-1,광주광역시 광산구 임방울대로 148
태성기업,과학·기술,본사·경영 컨설팅,경영 컨설팅업,광주광역시,광산구,하남동,광주광역시 광산구 오선동 270-106,광주광역시 광산구 하남산단6번로 57
이룸수학교습소,교육,일반 교육,입시·교과학원,광주광역시,북구,문흥1동,광주광역시 북구 문흥동 996-2,광주광역시 북구 문산로 65
이윤헤어,수리·개인,이용·미용,미용실,광주광역시,북구,양산동,광주광역시 북구 양산동 209-190,광주광역시 북구 양산로 15
오징어나라,음식,한식,횟집,광주광역시,서구,금호1동,광주광역시 서구 금호동 759-3,광주광역시 서구 운천로17번길 5-1
용천통닭,음식,기타 간이,치킨,광주광역시,서구,화정1동,광주광역시 서구 화정동 775-9,광주광역시 서구 군분2로15번길 8
주광택,수리·개인,자동차 수리·세차,자동차 세차장,광주광역시,서구,서창동,광주광역시 서구 매월동 37,광주광역시 서구 매월1로62번길 29
앨리스,소매,섬유·의복·신발 소매,신발 소매업,광주광역시,서구,화정4동,광주광역시 서구 화정동 807-1,광주광역시 서구 화정로138번길 1
미성현악기,소매,기타 생활용품 소매,악기 소매업,광주광역시,북구,중앙동,광주광역시 북구 유동 112-9,광주광역시 북구 경열로 205
스토리,음식,주점,생맥주 전문,광주광역시,서구,풍암동,광주광역시 서구 풍암동 1127,광주광역시 서구 풍암2로 36
과자랑문구랑,소매,오락용품 소매,문구/회화용품 소매업,광주광역시,광산구,첨단1동,광주광역시 광산구 월계동 759-1,광주광역시 광산구 첨단중앙로181번길 65
아남세탁소,수리·개인,세탁,세탁소,광주광역시,남구,진월동,광주광역시 남구 진월동 348,광주광역시 남구 금당로3길 20
힐링노래연습장,예술·스포츠,유원지·오락,노래방,광주광역시,북구,건국동,광주광역시 북구 용두동 326-4,광주광역시 북구 하서로423번길 36
이드멘토스학원,교육,일반 교육,입시·교과학원,광주광역시,광산구,하남동,광주광역시 광산구 산정동 1013,광주광역시 광산구 손재로110번길 24
스타당구장,예술·스포츠,스포츠 서비스,당구장,광주광역시,서구,금호1동,광주광역시 서구 금호동 753-12,광주광역시 서구 운천로17번길 4
몽이미용실,수리·개인,이용·미용,미용실,광주광역시,동구,학운동,광주광역시 동구 학동 735-24,광주광역시 동구 의재로 26
페이지604,소매,섬유·의복·신발 소매,여성 의류 소매업,광주광역시,북구,운암1동,광주광역시 북구 운암동 976-1,광주광역시 북구 서강로 70
육남매과일맛집,소매,식료품 소매,채소/과일 소매업,광주광역시,광산구,송정2동,광주광역시 광산구 송정동 794-7,광주광역시 광산구 내상로 19-1
경영컨설팅업,과학·기술,본사·경영 컨설팅,경영 컨설팅업,광주광역시,광산구,하남동,광주광역시 광산구 오선동 270-106,광주광역시 광산구 하남산단6번로 57
덕암빌딩,부동산,부동산 서비스,부동산 중개/대리업,광주광역시,광산구,운남동,광주광역시 광산구 운남동 785-4,광주광역시 광산구 목련로153번길 79-1
이지에이피부과의원,보건의료,의원,피부/비뇨기과 의원,광주광역시,북구,신용동,광주광역시 북구 신용동 733,광주광역시 북구 첨단연신로 97
풍미맛집,음식,한식,백반/한정식,광주광역시,서구,풍암동,광주광역시 서구 풍암동 1083-6,광주광역시 서구 풍암순환로109번길 26
베니스,음식,주점,생맥주 전문,광주광역시,남구,봉선1동,광주광역시 남구 봉선동 998-2,광주광역시 남구 봉선중앙로 87
재설,숙박,일반 숙박,여관/모텔,광주광역시,동구,서남동,광주광역시 동구 금동 6,광주광역시 동구 백서로125번길 34-1
서경산업개발,과학·기술,기술 서비스,건물 및 토목 엔지니어링 서비스업,광주광역시,북구,용봉동,광주광역시 북구 용봉동 10-14,광주광역시 북구 효산로12번길 6-4
헬시마마,소매,가전·통신 소매,가전제품 소매업,광주광역시,광산구,하남동,광주광역시 광산구 하남동 832,광주광역시 광산구 용아로400번길 30
디자인스캔,과학·기술,전문 디자인,인테리어 디자인업,광주광역시,광산구,수완동,광주광역시 광산구 신가동 1122,광주광역시 광산구 수완로9번길 18
명품네일,수리·개인,이용·미용,네일숍,광주광역시,광산구,첨단2동,광주광역시 광산구 월계동 771-3,광주광역시 광산구 월계로 102
팔팔이용원,수리·개인,이용·미용,미용실,광주광역시,광산구,송정2동,광주광역시 광산구 송정동 949-2,광주광역시 광산구 상무대로 176
계림장가공인중개사사무소,부동산,부동산 서비스,부동산 중개/대리업,광주광역시,동구,계림2동,광주광역시 동구 계림동 1630,광주광역시 동구 필문대로 96-1
성호153,소매,종합 소매,그 외 기타 종합 소매업,광주광역시,서구,유덕동,광주광역시 서구 유촌동 868-1,광주광역시 서구 상무버들로 35
박진효세무회계사무소,과학·기술,회계·세무,세무사,광주광역시,광산구,첨단2동,광주광역시 광산구 월계동 888-10,광주광역시 광산구 첨단중앙로 110
청담네일,수리·개인,이용·미용,네일숍,광주광역시,서구,풍암동,광주광역시 서구 풍암동 1076-3,광주광역시 서구 풍암신암로 40
금호카센타,수리·개인,자동차 수리·세차,자동차 정비소,광주광역시,북구,임동,광주광역시 북구 임동 5-16,광주광역시 북구 태봉로 37-6
24시광주자동차배터리할인점,수리·개인,자동차 수리·세차,자동차 정비소,광주광역시,서구,치평동,광주광역시 서구 치평동 1187-3,광주광역시 서구 치평로 112
샤샤노래연습장,예술·스포츠,유원지·오락,노래방,광주광역시,북구,우산동,광주광역시 북구 우산동 518-99,광주광역시 북구 독립로 412-6
에이치앤에이치더바디,예술·스포츠,스포츠 서비스,기타 스포츠시설 운영업,광주광역시,북구,문화동,광주광역시 북구 각화동 381-35,광주광역시 북구 군왕로 297
남도유통,소매,종합 소매,그 외 기타 종합 소매업,광주광역시,동구,학운동,광주광역시 동구 학동 276-2,광주광역시 동구 증심천로 73
리저트앤드비건베이크샵,음식,기타 간이,빵/도넛,광주광역시,광산구,하남동,광주광역시 광산구 흑석동 811,광주광역시 광산구 용아로 436-20
뉴나이스마트,소매,종합 소매,슈퍼마켓,광주광역시,광산구,송정1동,광주광역시 광산구 송정동 448-1,광주광역시 광산구 송도로320번길 16-15
항아리,음식,한식,돼지고기 구이/찜,광주광역시,서구,상무1동,광주광역시 서구 쌍촌동 1374,광주광역시 서구 상무오월로 45
총신평생교육원참좋은사람들광주북부지부,교육,기타 교육,사회교육시설,광주광역시,북구,두암1동,광주광역시 북구 두암동 869-13,광주광역시 북구 군왕로 87
고흥식당,음식,한식,백반/한정식,광주광역시,서구,광천동,광주광역시 서구 광천동 89-11,광주광역시 서구 죽봉대로119번길 18
정윤환경,과학·기술,기술 서비스,환경 관련 엔지니어링 서비스업,광주광역시,북구,건국동,광주광역시 북구 오룡동 1110-43,광주광역시 북구 첨단과기로208번길 43-22
메디필피부과의원,보건의료,의원,피부/비뇨기과 의원,광주광역시,서구,농성1동,광주광역시 서구 농성동 460-36,광주광역시 서구 죽봉대로 76
김경오빵집,음식,기타 간이,빵/도넛,광주광역시,북구,중흥동,광주광역시 북구 중흥동 142,광주광역시 북구 당뫼로 58
초석건축사사무소,과학·기술,기술 서비스,건축 설계 및 관련 서비스업,광주광역시,북구,중흥1동,광주광역시 북구 중흥동 694-10,광주광역시 북구 무등로 255
한성자동차공업사&한성태양광발전소,수리·개인,자동차 수리·세차,자동차 정비소,광주광역시,북구,건국동,광주광역시 북구 지야동 805-5,광주광역시 북구 하서로672번길 18-10
빛고을마트,소매,종합 소매,슈퍼마켓,광주광역시,서구,상무1동,광주광역시 서구 쌍촌동 1350,광주광역시 서구 상일로 42
큐노래연습장,예술·스포츠,유원지·오락,노래방,광주광역시,광산구,수완동,광주광역시 광산구 수완동 1366,광주광역시 광산구 수완로 68
문흥디시마트,소매,종합 소매,그 외 기타 종합 소매업,광주광역시,북구,문흥1동,광주광역시 북구 문흥동 996-3,광주광역시 북구 문산로 61
아이콘스튜디오,과학·기술,사진 촬영,사진촬영업,광주광역시,동구,서남동,광주광역시 동구 서석동 97-10,광주광역시 동구 백서로 167
하늘사우나,수리·개인,욕탕·신체관리,목욕탕/사우나,광주광역시,북구,매곡동,광주광역시 북구 매곡동 373-15,광주광역시 북구 서하로 82
제일카크리닉,수리·개인,자동차 수리·세차,자동차 정비소,광주광역시,광산구,어룡동,광주광역시 광산구 소촌동 594-13,광주광역시 광산구 어등대로665번길 5
동강학원학,교육,교육 지원,기타 교육지원 서비스업,광주광역시,북구,풍향동,광주광역시 북구 풍향동 475,광주광역시 북구 동문대로 50
멀티바이오,소매,의약·화장품 소매,의료기기 소매업,광주광역시,서구,상무1동,광주광역시 서구 쌍촌동 1312-1,광주광역시 서구 상무민주로32번길 4-6
왕굴면옥,음식,한식,냉면/밀면,광주광역시,북구,일곡동,광주광역시 북구 일곡동 828-4,광주광역시 북구 송해로 73
거문도수산,음식,한식,횟집,광주광역시,남구,백운1동,광주광역시 남구 백운동 605-18,광주광역시 남구 백운로 48-1
휴타이아로마광주,수리·개인,욕탕·신체관리,마사지/안마,광주광역시,광산구,수완동,광주광역시 광산구 수완동 1474,광주광역시 광산구 장신로148번길 17
크로스핏바디포일곡,예술·스포츠,스포츠 서비스,헬스장,광주광역시,북구,일곡동,광주광역시 북구 일곡동 850-5,광주광역시 북구 설죽로 545-1
오드리주얼리,소매,시계·귀금속 소매,시계/귀금속 소매업,광주광역시,남구,봉선1동,광주광역시 남구 봉선동 984,광주광역시 남구 봉선중앙로 113
NK기술,과학·기술,기술 서비스,건물 및 토목 엔지니어링 서비스업,광주광역시,광산구,수완동,광주광역시 광산구 장덕동 1075,광주광역시 광산구 장덕로39번길 34
무등세탁소,수리·개인,세탁,세탁소,광주광역시,남구,봉선2동,광주광역시 남구 봉선동 127-15,광주광역시 남구 봉선2로 96-14
신데렐라의원,보건의료,의원,피부/비뇨기과 의원,광주광역시,서구,치평동,광주광역시 서구 치평동 1178-6,광주광역시 서구 상무중앙로 29
씨티아트기프트,과학·기술,광고,광고 대행업,광주광역시,광산구,평동,광주광역시 광산구 옥동 1239-3,광주광역시 광산구 평동로 853-7
서향칼국수,음식,한식,국수/칼국수,광주광역시,광산구,수완동,광주광역시 광산구 신가동 1079,광주광역시 광산구 수완로9번길 33
제이힐필라테스,교육,기타 교육,요가/필라테스 학원,광주광역시,광산구,수완동,광주광역시 광산구 장덕동 1665,광주광역시 광산구 장신로64번길 11
쎄시봉노래연습장,예술·스포츠,유원지·오락,노래방,광주광역시,북구,두암2동,광주광역시 북구 두암동 87-1,광주광역시 북구 삼정로 106-1
제이제이헤어,수리·개인,이용·미용,미용실,광주광역시,북구,용봉동,광주광역시 북구 용봉동 1227-1,광주광역시 북구 용주로18번길 36
김민서스킨테라피,수리·개인,이용·미용,피부 관리실,광주광역시,광산구,하남동,광주광역시 광산구 하남동 965,광주광역시 광산구 손재로 170
조은상사,소매,가전·통신 소매,가전제품 소매업,광주광역시,서구,광천동,광주광역시 서구 광천동 650-347,광주광역시 서구 화운로304번길 15-16
다운다운도매형마트,소매,종합 소매,슈퍼마켓,광주광역시,동구,지원1동,광주광역시 동구 소태동 512-18,광주광역시 동구 학소로76번길 7
새중앙합동세무사무소,과학·기술,회계·세무,세무사,광주광역시,동구,충장동,광주광역시 동구 금남로4가 21,광주광역시 동구 금남로 203
이어인,부동산,부동산 서비스,부동산 중개/대리업,광주광역시,동구,학동,광주광역시 동구 학동 104-5,광주광역시 동구 양림로119번길 11
더채움공인중개사사무소,부동산,부동산 서비스,부동산 중개/대리업,광주광역시,광산구,신가동,광주광역시 광산구 신가동 991-5,광주광역시 광산구 신창로 4
오복사삼형제,시설관리·임대,사무 지원,기타 사무 지원 서비스업,광주광역시,북구,두암1동,광주광역시 북구 두암동 329,광주광역시 북구 군왕로51번길 39
하나로약국,소매,의약·화장품 소매,약국,광주광역시,북구,운암2동,광주광역시 북구 운암동 90-33,광주광역시 북구 북문대로 37
일등뉴스연예기획,시설관리·임대,기타 사업 서비스,전시/컨벤션/행사 대행 서비스업,광주광역시,서구,치평동,광주광역시 서구 치평동 1280-2,광주광역시 서구 상무화원로3번길 6
정도엔지니어링,과학·기술,기술 서비스,기타 엔지니어링 서비스업,광주광역시,서구,풍암동,광주광역시 서구 풍암동 964-4,광주광역시 서구 풍암신흥로39번길 15
법무사정흔연사무소,과학·기술,법무관련 ,법무사,광주광역시,동구,지산2동,광주광역시 동구 지산동 342-25,광주광역시 동구 준법로 5
까투리두암주공점,음식,주점,요리 주점,광주광역시,북구,두암3동,광주광역시 북구 두암동 305-5,광주광역시 북구 밤실로 203
나눔사랑,소매,오락용품 소매,운동용품 소매업,광주광역시,남구,주월1동,광주광역시 남구 주월동 973-14,광주광역시 남구 회재로 1236
미스터피자광주일곡점,음식,기타 간이,피자,광주광역시,북구,일곡동,광주광역시 북구 일곡동 830-3,광주광역시 북구 설죽로 512
서린컴퍼니,음식,기타 간이,김밥/만두/분식,광주광역시,광산구,첨단2동,광주광역시 광산구 월계동 813-6,광주광역시 광산구 첨단내촌로70번길 8-14
민속마당,음식,한식,국수/칼국수,광주광역시,북구,오치2동,광주광역시 북구 오치동 949-16,광주광역시 북구 서하로 213-5
아이비303,숙박,일반 숙박,여관/모텔,광주광역시,남구,백운2동,광주광역시 남구 백운동 624-13,광주광역시 남구 진다리로6번길 14
에스콰이아롯데아울렛,소매,섬유·의복·신발 소매,신발 소매업,광주광역시,서구,풍암동,광주광역시 서구 풍암동 423-2,광주광역시 서구 금화로 240
코끼리아구찜,음식,한식,해산물 구이/찜,광주광역시,서구,금호1동,광주광역시 서구 금호동 758-15,광주광역시 서구 금화로73번길 2-1
바른수산,소매,식료품 소매,수산물 소매업,광주광역시,서구,금호1동,광주광역시 서구 금호동 742-1,광주광역시 서구 운천로56번길 10
굿모닝보청기광주,소매,의약·화장품 소매,의료기기 소매업,광주광역시,서구,금호1동,광주광역시 서구 금호동 766-11,광주광역시 서구 금화로 101
스캔들노래홀,예술·스포츠,유원지·오락,노래방,광주광역시,서구,화정1동,광주광역시 서구 화정동 23-259,광주광역시 서구 내방로353번길 8
흑염소한마리,음식,기타 간이,치킨,광주광역시,북구,운암1동,광주광역시 북구 운암동 780-76,광주광역시 북구 황계로 3
에스엠인테리어,과학·기술,전문 디자인,인테리어 디자인업,광주광역시,서구,풍암동,광주광역시 서구 풍암동 872-4,광주광역시 서구 풍암신흥안길 17-14
숲,소매,섬유·의복·신발 소매,여성 의류 소매업,광주광역시,서구,치평동,광주광역시 서구 치평동 1326,광주광역시 서구 상무대로 773
엄마의냉장고,소매,종합 소매,슈퍼마켓,광주광역시,광산구,월곡1동,광주광역시 광산구 월곡동 601-3,광주광역시 광산구 월곡로 22
영양왕족발,음식,한식,족발/보쌈,광주광역시,북구,용봉동,광주광역시 북구 용봉동 1254-29,광주광역시 북구 설죽로202번길 53
스튜디오포토비스타,과학·기술,사진 촬영,사진촬영업,광주광역시,동구,동명동,광주광역시 동구 동명동 238-10,광주광역시 동구 동계천로 81
미용실럭셔리,수리·개인,이용·미용,미용실,광주광역시,광산구,월곡1동,광주광역시 광산구 월곡동 60-5,광주광역시 광산구 월곡중앙로 1
쭈바라기카페,소매,섬유·의복·신발 소매,액세서리/잡화 소매업,광주광역시,북구,문흥1동,광주광역시 북구 문흥동 954-3,광주광역시 북구 능안로22번길 52
현대철물열쇠전기,소매,철물·건설자재 소매,철물/공구 소매업,광주광역시,북구,신안동,광주광역시 북구 신안동 480-35,광주광역시 북구 서암대로 151-1
법무사김진봉사무소,과학·기술,법무관련 ,법무사,광주광역시,서구,치평동,광주광역시 서구 치평동 1208,광주광역시 서구 시청로96번길 12
코지네스트레노마홈,소매,섬유·의복·신발 소매,침구류/커튼 소매업,광주광역시,서구,상무1동,광주광역시 서구 쌍촌동 965-9,광주광역시 서구 상무대로 905
미래의류,소매,섬유·의복·신발 소매,기타 의류 소매업,광주광역시,광산구,어룡동,광주광역시 광산구 운수동 283-1,광주광역시 광산구 어등대로491번길 31
동궁찜닭,음식,한식,닭/오리고기 구이/찜,광주광역시,남구,주월1동,광주광역시 남구 주월동 428-19,광주광역시 남구 서문대로749번길 15-1
명륜진사갈비,음식,한식,돼지고기 구이/찜,광주광역시,북구,용봉동,광주광역시 북구 용봉동 1405-13,광주광역시 북구 저불로 30
공익변호사와함께하는동행,과학·기술,법무관련 ,변호사,광주광역시,동구,충장동,광주광역시 동구 수기동 23-2,광주광역시 동구 천변우로 339
씨몬,과학·기술,전문 디자인,시각 디자인업,광주광역시,광산구,도산동,광주광역시 광산구 도산동 1136-1,광주광역시 광산구 도산로9번길 35
투게더,음식,주점,요리 주점,광주광역시,북구,건국동,광주광역시 북구 용두동 326-4,광주광역시 북구 하서로423번길 36
리빙앤스탑,소매,종합 소매,그 외 기타 종합 소매업,광주광역시,북구,양산동,광주광역시 북구 연제동 1030,광주광역시 북구 첨단연신로77번길 20
나무,소매,섬유·의복·신발 소매,여성 의류 소매업,광주광역시,서구,화정3동,광주광역시 서구 화정동 832-7,광주광역시 서구 염화로 126
우리여행사주,시설관리·임대,여행사·보조,여행사,광주광역시,북구,중앙동,광주광역시 북구 유동 40-10,광주광역시 북구 경열로 190
카라노래연습장,예술·스포츠,유원지·오락,노래방,광주광역시,광산구,수완동,광주광역시 광산구 흑석동 599,광주광역시 광산구 풍영로 95
작은부엌,음식,한식,횟집,광주광역시,북구,용봉동,광주광역시 북구 용봉동 1354-3,광주광역시 북구 저불로73번길 2
봉선이마트아가방,소매,섬유·의복·신발 소매,유아용 의류 소매업,광주광역시,남구,봉선2동,광주광역시 남구 봉선동 1064,광주광역시 남구 봉선로 198
베베노리,소매,섬유·의복·신발 소매,기타 의류 소매업,광주광역시,광산구,수완동,광주광역시 광산구 수완동 1482,광주광역시 광산구 임방울대로 318
명품프라자,소매,섬유·의복·신발 소매,여성 의류 소매업,광주광역시,북구,우산동,광주광역시 북구 우산동 186-22,광주광역시 북구 서방로 69-1
청아호프,음식,주점,요리 주점,광주광역시,북구,용봉동,광주광역시 북구 용봉동 700-29,광주광역시 북구 운용로 92
그리다메이크업,수리·개인,이용·미용,피부 관리실,광주광역시,광산구,첨단2동,광주광역시 광산구 쌍암동 694-106,광주광역시 광산구 월계로 235-8
진성전기조명,소매,기타 생활용품 소매,전기용품/조명장치 소매업,광주광역시,북구,건국동,광주광역시 북구 본촌동 2871,광주광역시 북구 양산택지로 120
노블7080,음식,주점,일반 유흥 주점,광주광역시,북구,우산동,광주광역시 북구 우산동 518-68,광주광역시 북구 독립로 401
연우,소매,섬유·의복·신발 소매,신발 소매업,광주광역시,서구,광천동,광주광역시 서구 광천동 49-1,광주광역시 서구 무진대로 904
웨스트우드,소매,섬유·의복·신발 소매,기타 의류 소매업,광주광역시,광산구,하남동,광주광역시 광산구 흑석동 55-2,광주광역시 광산구 사암로 427
삼진자동차정비,수리·개인,자동차 수리·세차,자동차 정비소,광주광역시,광산구,첨단1동,광주광역시 광산구 비아동 635,광주광역시 광산구 첨단과기로 23
시우,음식,주점,요리 주점,광주광역시,동구,충장동,광주광역시 동구 궁동 38-5,광주광역시 동구 예술길 27-5
까스텔바작(동광,소매,섬유·의복·신발 소매,기타 의류 소매업,광주광역시,북구,문화동,광주광역시 북구 각화동 505-1,광주광역시 북구 동문대로 216
